"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrezid"
"94234",379.457488535642,4.11083806223793,0.553709561012045,3.89077412802069e-19,9.44688064062857e-17,"FOXQ1","94234"
"57116",82.0962631974405,2.35214086706482,0.279113035782245,4.05231837066824e-19,9.73767926823774e-17,"ZNF695","57116"
"64063",337.954856447663,3.62273786976157,0.465286345448478,4.592582976456e-19,1.09233180202258e-16,"PRSS22","64063"
"1113",2288.74872640659,-3.77636481009742,0.511369327851636,5.16719538565887e-19,1.21658744691235e-16,"CHGA","1113"
"2277",28.7170247573792,-3.37705157165635,0.401162414813532,6.06304194069845e-19,1.4132344459574e-16,"VEGFD","2277"
"5361",2298.18607654562,1.35697283182632,0.158444806067243,6.39667892057356e-19,1.47623949464999e-16,"PLXNA1","5361"
"84962",512.883127142159,2.50181190948936,0.309316581948836,8.22609214016013e-19,1.87982334995091e-16,"AJUBA","84962"
"442038",121.367440296076,2.46806599623902,0.299710714331973,8.77987943263245e-19,1.98689523975951e-16,"SULT1C3","442038"
"9370",172.258969572557,-5.18396097604682,0.717534112238127,9.00927251659787e-19,2.0192032027825e-16,"ADIPOQ","9370"
"11240",3993.27826558737,-2.38595668313926,0.28907843481295,9.36468273133782e-19,2.07887037890241e-16,"PADI2","11240"
"57126",6028.36107405519,-3.28003122026491,0.422520505098531,9.92432200140508e-19,2.18232095783727e-16,"CD177","57126"
"553103",236.958486121327,-1.45135193937044,0.170659676996522,1.07670926686909e-18,2.34551554219174e-16,"MIR3936HG","553103"
"1303",13205.496996956,2.60765658531289,0.324597049406684,1.17708011431894e-18,2.54042225783891e-16,"COL12A1","1303"
"5697",261.544533956485,-3.7736024847822,0.510720184799954,1.21922857500386e-18,2.60724760135458e-16,"PYY","5697"
"1356",378.474986286045,-1.59954907964838,0.190210337878783,1.46691803195227e-18,3.10839930970687e-16,"CP","1356"
"284723",175.430804409134,-2.36623933466253,0.290697726250323,1.54917245935128e-18,3.25312259955126e-16,"SLC25A34","284723"
"114786",201.271831569378,-3.35262664966773,0.442871372469201,1.67144357875659e-18,3.47854271225333e-16,"XKR4","114786"
"105379189",251.991045180627,2.10456277874521,0.254183912601563,1.69290880939555e-18,3.49203641046026e-16,"LOC105379189","105379189"
"2906",211.177125198846,3.19861094153131,0.40256209113802,1.71063643714291e-18,3.49765129064597e-16,"GRIN2D","2906"
"9068",544.605337006153,-2.20938935708264,0.271639748032697,2.14590585059744e-18,4.3494712583979e-16,"ANGPTL1","9068"
"1294",2232.16615473343,2.72461091364153,0.344692492633948,2.51324585940727e-18,5.05010756352794e-16,"COL7A1","1294"
"9340",252.71097051534,-3.02074288721721,0.392471627792252,3.03613482657406e-18,6.04865527116366e-16,"GLP2R","9340"
"9509",1032.86621798091,2.52973072985309,0.318633722299408,3.13445329869366e-18,6.19160779146191e-16,"ADAMTS2","9509"
"123264",290.246781277791,-2.336620010812,0.291485568382352,3.20480933029462e-18,6.27738661175104e-16,"SLC51B","123264"
"4499",615.763403147298,-3.32089598299231,0.444452843932439,3.74235838647129e-18,7.26921930252161e-16,"MT1M","4499"
"10231",473.37396607084,-1.52409433996707,0.184028305628168,4.50880491861985e-18,8.63660135328072e-16,"RCAN2","10231"
"2167",391.414824366001,-3.95556747807664,0.546951894641517,4.52042286284374e-18,8.63660135328072e-16,"FABP4","2167"
"105378726",187.645810023262,1.87025520051152,0.227632249221228,4.56859296825694e-18,8.65766939000821e-16,"LOC105378726","105378726"
"105369504",786.843952367386,-2.24890977795734,0.276766973163121,4.64140409951188e-18,8.72471678673568e-16,NA,"105369504"
"84281",1116.29825895929,-1.95207217055855,0.240183813896075,5.02198538018935e-18,9.36459657814668e-16,"AKAP19","84281"
"414236",407.501215018894,2.52100392140201,0.318323219891874,5.07563312788122e-18,9.38951845855423e-16,"C10orf55","414236"
"6373",124.364545579663,3.1345561352082,0.408326363782708,5.19619402004069e-18,9.53685719788413e-16,"CXCL11","6373"
"1295",1325.38875844376,2.69657850442823,0.351357515895904,9.50629484047309e-18,1.73111114403584e-15,"COL8A1","1295"
"3627",324.384573861297,2.57119825320176,0.330658797383446,1.20426618052981e-17,2.17598762805964e-15,"CXCL10","3627"
"7045",7683.68607912074,2.01707058489632,0.25150012883253,1.25549210755875e-17,2.25109734885284e-15,"TGFBI","7045"
"145270",139.662596236501,-3.19383718396858,0.428289440043484,1.33908144797339e-17,2.38264499777189e-15,"PRIMA1","145270"
"8840",369.902947164908,2.36157964608224,0.299427439762431,1.41059077845493e-17,2.49086821628834e-15,"CCN4","8840"
"8038",696.150646197459,2.78099323522487,0.362610991186598,1.57392346444544e-17,2.75838962652321e-15,"ADAM12","8038"
"2675",119.272900389847,-2.04133407932525,0.255181598094964,1.66226068176198e-17,2.89146524113358e-15,"GFRA2","2675"
"51330",1018.17704209704,2.84411872997474,0.377382081715897,1.68304510106008e-17,2.90593320448958e-15,"TNFRSF12A","51330"
"56937",1641.14421967305,1.45963742283866,0.180232071928802,1.84077190749879e-17,3.15489355822716e-15,"PMEPA1","56937"
"1805",1057.50441144299,-3.59900324040751,0.498682035076295,1.95742235932472e-17,3.33033268419708e-15,"DPT","1805"
"54997",610.118509916885,3.44213607402586,0.471860883961146,2.06157926496148e-17,3.48212689036139e-15,"TESC","54997"
"644844",7655.29133081379,-1.95045334205719,0.246104083536185,2.35435535097963e-17,3.94803373208519e-15,"PHGR1","644844"
"145741",240.229709023048,3.1074510082889,0.421173203413427,2.53038637239741e-17,4.21291256815794e-15,"C2CD4A","145741"
"4973",155.73986318709,3.80507454717012,0.529743903946548,2.61078145631172e-17,4.31593652235247e-15,"OLR1","4973"
"4319",205.470014812473,4.49820920704523,0.676055682032405,2.6562640915739e-17,4.35123600809914e-15,"MMP10","4319"
"994",1419.91147372676,1.70018772094115,0.21241594138057,2.6694699436191e-17,4.35123600809914e-15,"CDC25B","994"
"105376806",36.527366059472,2.2667113886905,0.278708287932322,2.81161399736733e-17,4.55110490726633e-15,"LOC105376806","105376806"
"8862",247.327142121958,3.56709030965868,0.504599334557604,3.59528065268271e-17,5.77947563678492e-15,"APLN","8862"
"11251",160.849061342832,-1.75824043869545,0.220811655738884,4.00445049531627e-17,6.39313264351554e-15,"PTGDR2","11251"
"1836",31601.2601163224,-2.99082106169378,0.408111749414361,4.36553733872979e-17,6.92219794751379e-15,"SLC26A2","1836"
"102724672",132.728099335864,-1.95552073441478,0.248238782446579,4.91806717264588e-17,7.74562349508127e-15,"LOC102724672","102724672"
"7516",258.98592740451,1.71494961411051,0.21440352033089,5.29822940908336e-17,8.28835095948483e-15,"XRCC2","7516"
"90381",399.543423354399,1.55007437321373,0.194861684667961,6.17131552302164e-17,9.58981290174076e-15,"TICRR","90381"
"27250",4889.77317764605,-1.3659456317322,0.170631084877233,6.79524547276197e-17,1.04894289221595e-14,"PDCD4","27250"
"105379057",199.521388701504,-1.65751431136376,0.208230943050542,7.19265410874924e-17,1.10298404355813e-14,"EDIL3-DT","105379057"
"23035",1733.88724139873,-1.56453636464837,0.19681596625187,7.70781122561955e-17,1.17425733240501e-14,"PHLPP2","23035"
"10351",1417.96197702635,-3.55680255063395,0.520605649414959,7.92703095526517e-17,1.19981275672906e-14,"ABCA8","10351"
"7004",284.956545636674,2.05277523623611,0.264968431010331,8.32198288452083e-17,1.25146515519546e-14,"TEAD4","7004"
"23657",879.057942061321,2.8061948554116,0.379186670871111,9.27034082702574e-17,1.3851434252381e-14,"SLC7A11","23657"
"9704",750.491047470813,1.19340875788673,0.148885299750858,1.04532361394586e-16,1.55193937053911e-14,"DHX34","9704"
"57332",202.091926814102,1.64921435506156,0.209530493074898,1.13897431605821e-16,1.66970769389943e-14,"CBX8","57332"
"1675",2406.72913985444,-2.84936113844677,0.388609271454464,1.13250303839614e-16,1.66970769389943e-14,"CFD","1675"
"130497",105.228781846184,-2.69581069629991,0.362939456761043,1.46290835957049e-16,2.13118318457678e-14,"OSR1","130497"
"120406",1750.68652267406,-1.95187285957549,0.252756585720997,1.52257446843737e-16,2.19072149906213e-14,"NXPE2","120406"
"56938",722.737265368577,1.88952697388528,0.24536660393502,1.5182578793412e-16,2.19072149906213e-14,"BMAL2","56938"
