"","baseMean","log2FoldChange","lfcSE","pvalue","padj","entrezid","symbol"
"3284",419.467990343469,-3.82918370737735,0.770060371108973,3.59508581046677e-13,8.90143246671573e-11,"3284","HSD3B2"
"10446",557.098779297301,-2.68925244494063,0.45209420518279,3.83173820602719e-13,9.31205730012863e-11,"10446","LRRN2"
"5008",109.158655662503,2.7515727408085,0.45593091013213,3.85495102287231e-13,9.31205730012863e-11,"5008","OSM"
"100506115",91.6564573409407,1.91045321570085,0.287456832897098,3.91819129427226e-13,9.35078712734276e-11,"100506115","PELATON"
"283487",74.2650054509735,2.36856222606737,0.374305680605842,4.11243590359019e-13,9.69751552122791e-11,"283487","PRECSIT"
"29923",474.765198512798,1.7758678602156,0.269045842230172,4.1945875229603e-13,9.74776236561504e-11,"29923","HILPDA"
"162514",151.016520443511,-2.54150200310773,0.411791103554899,4.23216661673513e-13,9.74776236561504e-11,"162514","TRPV3"
"4188",206.490054828512,2.60820208445225,0.420781121533328,4.31284793783085e-13,9.8194128681096e-11,"4188","MDFI"
"6424",397.55055039744,3.3628210535792,0.604099302760313,4.52390897191945e-13,1.01829078313387e-10,"6424","SFRP4"
"9603",1471.1479122859,2.02527778199594,0.313701760865747,4.85594894122171e-13,1.08074872615415e-10,"9603","NFE2L3"
"283212",36.5308598597537,2.0836305230193,0.321437689146833,5.16226248965963e-13,1.13615661550198e-10,"283212","KLHL35"
"7804",262.317986988403,2.05909839164877,0.316234553598494,5.46453856369533e-13,1.18946791065579e-10,"7804","LRP8"
"107986389",13.2001094278716,5.89103251206557,1.081199819268,5.70989868421162e-13,1.21614702297703e-10,"107986389","NIHCOLE"
"1277",40149.4339065282,2.57308343180178,0.426108244169757,5.64936953128793e-13,1.21614702297703e-10,"1277","COL1A1"
"27299",3603.46426146833,-2.88496784436983,0.493259292715466,5.82180174775213e-13,1.2267898831859e-10,"27299","ADAMDEC1"
"284948",93.7431221075393,-3.13613333001971,0.513781255284273,6.14255419641323e-13,1.28075487918477e-10,"284948","SH2D6"
"285973",134.658180008514,1.98852930131123,0.306009297130898,7.20695542286739e-13,1.47170487645523e-10,"285973","ATG9B"
"388364",1468.79458260416,-4.06340538826192,0.92279068464219,7.19726314334886e-13,1.47170487645523e-10,"388364","TMIGD1"
"11174",39.5091029370516,1.75801472889891,0.268742482645781,7.48090197122662e-13,1.51205822700058e-10,"11174","ADAMTS6"
"2172",103.391016261438,4.31943084579357,0.719062519779693,7.57044031309401e-13,1.51469981537137e-10,"2172","FABP6"
"55083",180.039693085167,2.84090291973926,0.47705889978071,7.94671215905271e-13,1.57408474446516e-10,"55083","KIF26B"
"10004",355.61956469464,-1.94527371812875,0.305542926134297,8.91986463767682e-13,1.7493532548822e-10,"10004","NAALADL1"
"100127888",187.141167083887,2.25080027095008,0.350377914797678,1.05649596253726e-12,2.05167372803315e-10,"100127888","SLCO4A1-AS1"
"1434",2073.32438667023,1.19998423887166,0.180031539802941,1.23308029422588e-12,2.37134509398314e-10,"1434","CSE1L"
"8633",197.284508605255,-1.71517751697574,0.261149565967861,1.41007602814111e-12,2.66007485384944e-10,"8633","UNC5C"
"100507002",38.0609159465382,-1.40833822351354,0.213554770341975,1.40717025480852e-12,2.66007485384944e-10,"100507002","LOC100507002"
"55670",3062.53111832666,-1.40359188106392,0.215597747542098,1.64124818730639e-12,3.06696642397784e-10,"55670","PEX26"
