"",gene_symbol,GSM2440320,GSM2440321,GSM2440322,GSM2440323,GSM2440324,GSM2440325,GSM2440326,GSM2440327,GSM2440328,GSM2440329,GSM2440330,GSM2440331
ENSG00000244227,LINC01330,0,0,0,0.987,0,6.9586,0,1.0071,0,1.0108,0,0
ENSG00000244231,CSPG4P1Y,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244242,IFITM10,114.3777,86.9385,35.4051,83.8984,172.8797,38.7009,34.2699,71.1178,90.6913,41.1367,24.7071,49.7915
ENSG00000244247,LOC105374244,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244274,DBNDD2,2208.2033,3034.4826,813.0835,1082.6453,1291.288,3159.6319,1823.6259,2441.3287,7841.2749,2168.7813,59.7125,330.2961
ENSG00000244280,ECEL1P2,2.011,0,0,0,11.9788,0,0.9982,0.9986,0,3.9883,1.9869,3.9697
ENSG00000244302,PEX5L-AS2,0,0,0,0,0,0,0,0,0.9964,0,0,0
ENSG00000244306,LINC01296,20.5083,58.9745,13.5942,63.2888,8.834,5.8437,139.9697,26.0301,41.3292,11.0785,17.8377,3.634
ENSG00000244342,LINC00698,4.0282,1.0021,0,4.0169,106.1775,1.0014,2.993,0,2.0037,0,1.0003,0
ENSG00000244355,LY6G6D,199.5583,189.7356,313.3735,1426.7958,512.0958,30.9561,818.3782,259.8249,49.074,0,21.929,3.2785
ENSG00000244362,KRTAP19-7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244383,FAM3D-AS1,14.1572,2.8997,45.6698,186.1075,44.4445,0,30.735,114.0746,57.6064,185.3017,16.2806,64.092
ENSG00000244395,RBMY1B,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244405,ETV5,56.8949,70.3613,50.9955,47.4025,250.8611,102.014,34.4188,51.8415,38.137,16.8819,99.8852,37.3803
ENSG00000244411,KRTAP5-7,3.0259,4.0173,2.9747,7.0289,9.0985,1.0012,1.9955,2.9951,23.1728,9.0064,1.9855,0.9913
ENSG00000244414,CFHR1,47.036,0.9887,0,1.0432,1.3017,2.8851,4.0311,4.1303,5.3452,1.078,17.3504,6.7652
ENSG00000244427,RPS3AP33,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244444,EGFL8,11.6112,5.7397,7.2061,7.7902,524.395,978.7764,7.2394,7.7904,6.2575,298.2583,0.2915,2.9832
ENSG00000244462,RBM12,243.5765,368.6946,209.2383,87.1082,491.8499,269.8932,113.6074,228.3878,385.5741,209.0129,25.6709,31.3359
ENSG00000244474,UGT1A4,117.7278,0,0,0,22.1138,0,4.2573,9.1576,14.5121,12.8606,0,0
ENSG00000244476,ERVFRD-1,3.1604,3.0149,3.9239,11.0923,1.0069,4.0369,0,1.9941,6.0223,0.9944,7.9104,0.9848
ENSG00000244482,LILRB3,4.2688,0,0,0,20.6097,13.8416,1.9919,12.0723,0,3.0379,6.9464,3.0882
ENSG00000244486,SCARF2,263.8437,185.9211,144.1876,212.7806,1357.7652,610.8618,39.8067,126.6228,179.6679,43.6123,73.1682,33.4792
ENSG00000244502,HDAC11-AS1,0,0,2.0843,0,6.8609,0,4.0354,6.0269,2.9804,3.0564,4.044,0
ENSG00000244509,APOBEC3C,150.8239,679.3906,261.9837,189.0125,846.4031,1728.9345,91.5617,1119.1303,1574.2156,582.3378,1387.8999,404.3045
ENSG00000244537,KRTAP4-2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244541,LINC01213,2.9234,0,0,17.7495,1.9517,0,9.0754,3.0127,11.9145,0,0,0
ENSG00000244560,LOC155060,446.4599,233.1612,378.0269,941.841,655.4631,674.3615,555.7657,499.5718,534.4167,574.8843,506.9939,255.6465
ENSG00000244578,LINC01391,0,0,0,0,0,1.0098,0.995,0,5.0137,0,0,0
ENSG00000244588,RAD21L1,0,0,0,0,1.956,0,0,0,0,0,0,1.0249
ENSG00000244607,CCDC13,15.9913,12.4908,22.925,25.7624,12.1205,125.7718,8.0102,10.205,34.2378,16.9531,3.0378,11.913
ENSG00000244617,ASPRV1,20.2388,25.0981,25.6008,12.0828,208.078,74.4746,32.8705,41.6662,122.3715,15.8876,10.8965,12.8313
ENSG00000244623,OR2AE1,3.0056,0,0,0,0,1.9923,0,0,0,0,0,0
ENSG00000244624,KRTAP20-1,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000244672,LY6G5B,262.6636,175.7335,9.8571,254.3843,22.0377,10.177,126.1877,154.2576,293.1087,11.0935,412.5018,79.0261
ENSG00000244681,MTHFD2P1,45.1729,17.9498,43.9266,93.6813,35.6178,11.2328,38.185,50.4802,64.7967,40.0422,381.1239,87.1161
ENSG00000244687,UBE2V1,3967.3178,3345.1582,1184.6912,3352.9866,3224.7703,2022.4192,2060.6017,2998.9483,5196.516,1725.8968,2176.5648,875.035
ENSG00000244693,CTAGE8,295.3914,319.4704,88.1341,0,355.9298,8.4334,21.9617,0,0,243.2775,12.3685,0
ENSG00000244694,PTCHD4,2.3076,0,28.5588,5.9395,2.0129,37.8985,4.2756,91.7291,10.7606,56.3397,50.8934,8.4385
ENSG00000244695,HCG17,0,0.1992,0,0.275,0.3967,0.4591,0,0,0,0.4026,0,0
ENSG00000244721,HLA-L,1.9186,5.3531,6.1316,7.1173,128.9114,45.8273,13.2886,18.4119,45.7116,14.5844,5.2635,16.9113
