"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"107984034",9.54840486762296,0.920079155000371,0.267583645595916,0.000200689305243637,0.000672359232688772,"LOC107984034"
"84275",535.99682383335,0.62013585769742,0.173534345422663,0.000200752258288178,0.00067245445995223,"SLC25A33"
"3276",6773.95553790966,0.767986731180061,0.21937851731987,0.000201956847131235,0.00067616329865026,"PRMT1"
"8153",44.3729127891359,-1.11189811020655,0.35196504136235,0.000202318124245926,0.000677233666154934,"RND2"
"595",5042.84648018774,0.894146428666692,0.268742930543341,0.000203765744073222,0.000681672309889179,"CCND1"
"23143",795.30576035633,0.904455334341922,0.261429740601999,0.00020378414316687,0.000681672309889179,"LRCH1"
"91782",1454.31053659512,-0.66343204993926,0.190823603437978,0.000204125214959925,0.00068269595764117,"CHMP7"
"163259",55.4549286085186,-0.865799025856092,0.250613469672982,0.000204250697802214,0.000682998341294318,"DENND2C"
"134637",324.190373032066,0.650012524790465,0.182820524125253,0.000204734086208915,0.000684379733765641,"ADAT2"
"56675",36.8711587506814,1.00410054791124,0.310326230828508,0.000204712180576654,0.000684379733765641,"NRIP3"
"387882",1829.89040469378,0.789954495102903,0.22919534084485,0.000205013903902993,0.000685096392611444,"C12orf75"
"708",3122.29977088401,0.59261763049703,0.165395611452734,0.000205891107911758,0.000687893176630895,"C1QBP"
"101928123",28.1511825454975,-0.755939554568653,0.217691570855764,0.000206392468531609,0.000689331731204438,"PAPLN-AS1"
"11218",373.941949709383,0.631714706566924,0.176633532770773,0.000206650879072156,0.000690076452320001,"DDX20"
"9244",118.573426339864,-1.44656253590734,0.500078670997796,0.000206715091402085,0.000690172536440185,"CRLF1"
"284029",71.9044314570996,-0.729911894680547,0.208370904636462,0.000207083770266117,0.000691284954736481,"LINC00324"
"9057",953.568806027829,0.659316117379212,0.185338878483587,0.000208845114780315,0.000696806340645305,"SLC7A6"
"304",1506.75938138047,0.810487673819718,0.231692318298638,0.000209789033833138,0.000699835805738327,"ANXA2P2"
"116068",580.491697135025,-0.688474898946785,0.194716917421739,0.000210071056442684,0.000700656589179873,"LYSMD3"
"266727",215.417908110322,-0.897165245069778,0.266463434182676,0.000210397869008661,0.000701626455298573,"MDGA1"
"23466",990.057772637482,-0.667795213805286,0.192790772226834,0.000210536497959011,0.000701968549520928,"CBX6"
